,title,price,link
0,Alufelgi VW Golf Touran Caddy New Beetle 17R 5x112 ET54,1 450 zł,https://www.olx.pl/d/oferta/alufelgi-vw-golf-touran-caddy-new-beetle-17r-5x112-et54-CID5-IDOz6BJ.html#dba364ef61;promoted
1,Kompletne koła Alufelgi Madrid VW GOLF VII Passat 5x112 17R ET49,2 950 zł,https://www.olx.pl/d/oferta/kompletne-kola-alufelgi-madrid-vw-golf-vii-passat-5x112-17r-et49-CID5-IDOPUKI.html#dba364ef61;promoted
2,Sprzedam Nowe Zawieszenie AST 4100 sportline VW golf 4 audi A3 / S3 8l,1 899 zł,https://www.olx.pl/d/oferta/sprzedam-nowe-zawieszenie-ast-4100-sportline-vw-golf-4-audi-a3-s3-8l-CID5-IDNdqWN.html#dba364ef61;promoted
3,Skrzynia biegów 2.0 tdi NFW audi a3 vw seat skoda golf passat Scirocco,2 600 zł,https://www.olx.pl/d/oferta/skrzynia-biegow-2-0-tdi-nfw-audi-a3-vw-seat-skoda-golf-passat-scirocco-CID5-IDNvxiy.html#dba364ef61
4,Fotele Kanapa Tył VW Golf V 5D,400 zł,https://www.otomoto.pl/oferta/fotele-kanapa-tyl-vw-golf-v-5d-ID6EzIMF.html?
5,Zderzak Tył PDC VW Golf V LA7W,200 zł,https://www.otomoto.pl/oferta/zderzak-tyl-pdc-vw-golf-v-la7w-ID6EzIMr.html?
6,Zamek Prawy Przód VW Golf V 3D1837016AC,70 zł,https://www.otomoto.pl/oferta/zamek-prawy-przod-vw-golf-v-3d1837016ac-ID6EzIM4.html?
7,Kompresor Klimatyzacji VW Golf V 1K0820859E,300 zł,https://www.otomoto.pl/oferta/kompresor-klimatyzacji-vw-golf-v-1k0820859e-ID6EzIMe.html?
8,Zbiorniczek Spryskiwaczy VW Golf V 1K0955453,60 zł,https://www.otomoto.pl/oferta/zbiorniczek-spryskiwaczy-vw-golf-v-1k0955453-ID6EzILv.html?
9,Serwo Pompa Hamulcowa VW Golf V 1.6 1K1615105AQ,90 zł,https://www.otomoto.pl/oferta/serwo-pompa-hamulcowa-vw-golf-v-1-6-1k1615105aq-ID6EzIKY.html?
10,Komputer Silnika VW Golf V 1.6 FSI 03C906056DP,120 zł,https://www.otomoto.pl/oferta/komputer-silnika-vw-golf-v-1-6-fsi-03c906056dp-ID6EzIKS.html?
